Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
Club Padel - La Wantzenau,1C Rte du Golf,67610 La Wantzenau,"Padel club, Padel court",Europe/Paris,+33 3 69 61 29 21,"03 69 61 29 21, +33 3 69 61 29 21",Club Padel - La Wantzenau (Owner),contact@club-padel.fr,instagram: https://www.instagram.com/club_padel_strasbourg,4,4.5,https://www.google.com/maps?cid=13513260522608832870,48.6705907,7.7986647,http://www.club-padel.fr/,club-padel.fr,https://lh3.googleusercontent.com/p/AF1QipNW2TlkDVG2Ory81FpP2YjCeofiPVb4dCTf1xkr,ChIJu7JbXUrHlkcRZrFoV9m-iLs,padel
padel2leon,Breitenfeldstraße 51,79341 Kenzingen,"Padel court, Gym, Padel club, Spa and health club",Europe/Berlin,,,padel2leon (Owner),info@padel2leon.de,"instagram: https://www.instagram.com/padel2leon
tiktok: https://www.tiktok.com/@padel2leon6,https://www.tiktok.com/@padel2leon",21,4.8,https://www.google.com/maps?cid=4309960550146696453,48.2008967,7.7661376,https://padel2leon.de/,padel2leon.de,https://lh3.googleusercontent.com/p/AF1QipN37oG5T1C_PB5tSWVwbNZz3cK86G4Cbi2Alqsi,ChIJS6bvSOY9kUcRBeVwA0kO0Ds,padel
Freiburg Padel am Silbersee,Seestraße 20,79108 Freiburg im Breisgau,Padel court,Europe/Berlin,,,Freiburg Padel am Silbersee (Owner),info@freiburgpadel.de,"instagram: https://instagram.com/Freiburgpadel,https://instagram.com/freiburgpadel,https://instagram.com/padelvibesfreiburg",7,5,https://www.google.com/maps?cid=6219884663300874721,48.0606463,7.8222159,https://www.freiburgpadel.de/,freiburgpadel.de,https://lh3.googleusercontent.com/p/AF1QipMdOYQ5pjqDIaGVNbGOus-kT4HbhkJxjExlwqJI,ChIJz7S8ZksZkUcR4eHymyV4UVY,padel
Terrain de padel,Rue Jean-Baptiste Drouet,51000 Châlons-en-Champagne,Padel court,Europe/Paris,,,Terrain de padel (Owner),,,2,5,https://www.google.com/maps?cid=16943804541750962502,48.9436452,4.367567,,,https://lh3.googleusercontent.com/p/AF1QipM-UCQ2FUlbg71TRswMbqB3Bxafyj5CSNbpZ1Yw,ChIJ38Dvy_Hh60cRRmm3ZnV8JOs,padel
Gravity Padel Arena,6 Rue Apollo,Z.A. Ariane,Athletic field,Europe/Paris,,,Gravity Padel Arena (Owner),contact@gravityarena.fr,"instagram: https://www.instagram.com/gravity.padel.arena
twitter: https://x.com/Gravity_padel67",5,5,https://www.google.com/maps?cid=14861196385807202636,48.7330606,7.0837535,https://www.gravityarena.fr/,gravityarena.fr,https://lh3.googleusercontent.com/p/AF1QipM-uY65GRqP2V7ZS9oo4nrq064YzOSCRr5V2jNO,ChIJfUHSmcERlEcRTHlb-V-TPc4,padel
Padel Paradise,91 Rue de la Mine,57860 Montois-la-Montagne,Padel club,Europe/Paris,+33 3 87 72 00 40,"03 87 72 00 40, +33 3 87 72 00 40",Padel Paradise (Owner),contact@padelparadise.eu,"facebook: https://www.facebook.com/padelparadise57
instagram: https://www.instagram.com/padelparadise57
linkedin: https://www.linkedin.com/in/valentine-lelievre-79293b190",2,5,https://www.google.com/maps?cid=5493906819731120668,49.2142784,6.0088079,https://padelparadise.eu/,padelparadise.eu,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6qLNtR_0yYo1KJmFjXIn5z_UldWdl9jahKse0uRcuIpPzMGl3rVEPLLOB7oDZKW59s4Yj8OSaKyBpmUapAVMioCEoZynnGjjaT2Lkfud24e40H0TLDFyPpgsoBsi9VL5x4eh-C28Ls7zg,ChIJAzq3WgAplUcRHGIrAyVHPkw,padel
JUST PADEL CLUB,Nachtwaid 4,79241 Ihringen,Sports complex,Europe/Berlin,,,JUST PADEL CLUB (Owner),info@justpadelclub.de,,19,4.5,https://www.google.com/maps?cid=12610408148435421978,48.030065,7.6558263,http://www.justpadelclub.de/,justpadelclub.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGzdHDk0V9RZBJw9ygm-DHagYfzWak8XMwlt2_rU_gdZlJV2Tj_5P6qbLBjL4yYnomqPHgxG2uIQg3A46iB0jUhTZLTDVrf8XTdLX9_K-LH1OrrVylV1FA066Fnk53nP0RZagB_N53PAu5,ChIJPbKvx_QTkUcRGksv8GUrAa8,padel
Padel-Karlsruhe,Am Baufeld 11,76149 Karlsruhe,Padel court,Europe/Berlin,+49 721 72234,"0721 72234, +49 721 72234",Padel-Karlsruhe (Owner),"mail@court4.de,info@tennis-klenert.de","facebook: https://www.facebook.com/padelkarlsruhe,https://www.facebook.com/tcgroetzingen,https://www.facebook.com/Padeltenniscramercourt.spvgg,https://www.facebook.com/cramerpadelindoorcourt,https://www.facebook.com/Court4Padel",1,5,https://www.google.com/maps?cid=14939891914067396572,49.0372837,8.3961821,http://www.padel-karlsruhe.com/,padel-karlsruhe.com,https://lh3.googleusercontent.com/p/AF1QipOxIMfv51iJ4amqRSDuhGZ_oUTwSI-szbwurAjR,ChIJhQWJrrMHl0cR3Me3eIooVc8,padel
PADEL CLUB BADEN-BADEN e.V.,Am Grünbach 4,76534 Baden-Baden,"Padel club, Padel court",Europe/Berlin,,,PADEL CLUB BADEN-BADEN e.V. (Owner),,,3,5,https://www.google.com/maps?cid=4209024634767590126,48.74188,8.18061,,,https://lh3.googleusercontent.com/p/AF1QipOZVTASbu3fAb7-xAi7OE0mdG4m_pUwDV_B0D1T,ChIJ0wfK8Gkhl0cR7sIw3pp1aTo,padel
Padelschmiede,Karlsruher Str. 31,76437 Rastatt,Padel court,Europe/Berlin,+49 7222 9342060,"07222 9342060, +49 7222 9342060",Padelschmiede (Owner),,"instagram: https://www.instagram.com/padelschmiede
tiktok: https://www.tiktok.com/@padelschmiede
youtube: https://youtube.com/@padelschmiede",19,5,https://www.google.com/maps?cid=18437345821551725773,48.8663623,8.220516,https://www.padelschmiede.de/,padelschmiede.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxm8kocHz8NBPULWEA-iXTOkXyoePlNMRMZGe_I4ccsJTHuvDOHBSAmmIRdOgb8z1MBECcvcXQ3dWNPijNxh5QBSaJFsJUgV7GsBQkY20pC91ayjl_Xzz8YMZ6RzYg5Z0JWtLaAPQEoFIAo,ChIJn5TZU0Mdl0cRzYyf5lac3v8,padel
BlackForest Padel,Baggerlochweg 2,77972 Mahlberg,Padel court,Europe/Berlin,,,BlackForest Padel (Owner),info@blackforest-padel.net,,11,5,https://www.google.com/maps?cid=9930913772539698801,48.2803251,7.7919247,https://www.blackforest-padel.net/,blackforest-padel.net,https://lh3.googleusercontent.com/p/AF1QipPZhWm7S0JkYj8kJTmQxuAAV3nxHSVj7wtkYTp0,ChIJ2fQ2gOQ7kUcRcV5Du3Wx0Yk,padel
padelexpert,Am Stadion 1,54292 Trier,Padel club,Europe/Berlin,+49 651 25876,"0651 25876, +49 651 25876",padelexpert (Owner),,,1,5,https://www.google.com/maps?cid=1452597272556616985,49.76882,6.6506601,http://padelexpert.de/,padelexpert.de,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G4KYw1rmjxjQYbMzmEQXow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=83.59399&pitch=0&thumbfov=100,ChIJ4UaMAfN8lUcRGT1w8IWpKBQ,padel
Sportin67 - Schweighouse sur Moder,17 Rue de la Sablière,67590 Schweighouse-sur-Moder,"Sports club, Badminton court, Padel court, Restaurant, Soccer field, Sports bar, Sports complex",Europe/Paris,+33 3 90 55 37 78,"03 90 55 37 78, +33 3 90 55 37 78",Sportin67 - Schweighouse sur Moder (Owner),,"facebook: https://www.facebook.com/Footliveschweighouse
instagram: https://www.instagram.com/sportin67_schweighouse",128,4.6,https://www.google.com/maps?cid=15769641914220400691,48.8282951,7.7503622,https://www.sportin67.fr/,sportin67.fr,https://lh3.googleusercontent.com/p/AF1QipMHKY9eosFRe_aL-uif6TFnkM8ACyC8iIgeeWTZ,ChIJQ7_mWtqVlkcRM9A3FMUF2do,padel
CASA PADEL Vendenheim Strasbourg,Bd des Enseignes,67550 Vendenheim,Padel club,Europe/Paris,+33 3 67 61 01 20,"03 67 61 01 20, +33 3 67 61 01 20",CASA PADEL Vendenheim Strasbourg (Owner),"saint-denis@casapadel.fr,asnieres@casapadel.fr,kingersheim@casapadel.fr,toulouse-st@casapadel.fr,vendenheim@casapadel.fr,commercial.saint-denis@casapadel.fr","facebook: https://www.facebook.com/centrecasapadel
instagram: https://www.instagram.com/casapadelsaintdenis,https://www.instagram.com/casapadelasnieres,https://www.instagram.com/casapadelkingersheim,https://www.instagram.com/casapadeltoulouse,https://www.instagram.com/casapadelvendenheim,https://www.instagram.com/groupecasapadel
linkedin: https://www.linkedin.com/company/casa-padel-uno
youtube: https://www.youtube.com/channel/UCew-Fy7mrGmNiWQ0wi-IBvQ",10,4.4,https://www.google.com/maps?cid=8921543096598113898,48.6571621,7.7312125,https://casapadel.fr/,casapadel.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyfoQDc3nXw9hXMxhfWp9kx-iEcvG1YipRg31YIIthgVROV0ZECJxPV2g3SYRbWz6ohtyxUY-JU1qbrUroQSCkOAOs5jaRlikJUEmjO2It4jQLmRU23NShqC6RISTXmy8dzMB6S_YRZx_p,ChIJJdZRFIHHlkcRaq4RkS2wz3s,padel
Spin padel 88,9 bis Av. Pierre Blanck,88000 Épinal,Padel club,Europe/Paris,,,Spin padel 88 (Owner),"utilisateur@domaine.com,spinpadel88@gmail.com",instagram: https://www.instagram.com/spinpadel88,5,5,https://www.google.com/maps?cid=1469230049484176385,48.203931,6.457613,https://www.spinpadel88.fr/,spinpadel88.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZ8C5ZLWwS4qvA1dBaRoqZHBJ7815w2dMmXOX-v_nG1mWsws6IcrzQisZOji_ZP4nhTmH85PPYBqSCCoC2aD5SCpC3usY7ZI0XWXEDw0j_foXjan00fcLulhGpW93o53W3DgTwMA,ChIJAc8yY_qhk0cRAXzVGPLAYxQ,padel
PadelBase Ludwigshafen,Weiherstraße 39,67063 Ludwigshafen am Rhein,Sports club,Europe/Berlin,,,PadelBase Ludwigshafen (Owner),,,11,4.7,https://www.google.com/maps?cid=14332288671927781713,49.4967412,8.399134,http://www.instagram.com/padelbase_ludwigshafen/,instagram.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzos-Kqe8NqtFAqEkadflfFlArQ3nStX8DeGlFOwS3XgLLTlOLsNmbpD-sBb3qBoI3gghM6TEvliMPn8e5fX2arp7eP88zy0XLJMAwfjVfmJkLob8g03YQFB2PP6mepdZMfoA,ChIJFyLeQwDNl0cRUUmchJyE5sY,padel
Padel-Tennisschule Heidelberg,Direkt an der Tennisanlage der TSG Rohrbach,Graues Gebäude / grauer Container,"Tennis instructor, Padel club, Padel court, Sports equipment rental service, Tennis store",Europe/Berlin,,,Padel-Tennisschule Heidelberg (Owner),info@padel-tennisschule.de,,4,5,https://www.google.com/maps?cid=14881270046662779549,49.3741315,8.6759068,https://www.padel-tennisschule.de/,padel-tennisschule.de,https://lh3.googleusercontent.com/p/AF1QipO1NtY4MCx7Jt1dOj20RzPgGxzEusiwP9KDN0O-,ChIJ_e93MxvJl0cRneL-WUPkhM4,padel
TPC Grötzingen - Padelplatz,TPC Grötzingen,Bruchwaldstraße 72,Padel court,Europe/Berlin,+49 721 483200,"0721 483200, +49 721 483200",TPC Grötzingen - Padelplatz (Owner),office@tpc-groetzingen.de,"instagram: https://www.instagram.com/allfinanz_joerger,https://www.instagram.com/mehrhalt,https://www.instagram.com/tpc_groetzingen
youtube: https://www.youtube.com/channel/UCix7QOANhyxoCDqnNaGQCiw",10,4.9,https://www.google.com/maps?cid=4118353416856643403,49.0217405,8.4970247,http://www.tpc-groetzingen.de/,tpc-groetzingen.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_ZL9teZgjTKAPKwV6ukhcODxwWIuuM_cCCXJ7bqVrowz-1R1Hxmgw-0YrPQbWH9RwI1CHYdsm99QOdU4YAXeDL84pRuFDfuuB7Hhst5oM0ad7g9DI7X5du7UvXwOVE2ofL15qSg,ChIJsVd1NJgJl0cRS6dB15xUJzk,padel
TOUL PADEL CLUB,819 Rue Maurice Bokanowski,54200 Toul,Sports complex,Europe/Paris,+33 6 79 91 60 12,"06 79 91 60 12, +33 6 79 91 60 12",TOUL PADEL CLUB (Owner),,,,,https://www.google.com/maps?cid=13355400277498499209,48.7025505,5.9296671,https://www.toul-padel-club.fr/,toul-padel-club.fr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rbSqB_wT5QwQGEnRMUrLvw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=334.616&pitch=0&thumbfov=100,ChIJXbiFuuuvlEcRiZBz3crpV7k,padel
AS Électricité de Strasbourg Tennis & Padel,Chem. de la Holtzmatt,67200 Strasbourg,"Tennis club, Padel club, Sports club",Europe/Paris,+33 3 88 30 43 70,"03 88 30 43 70, +33 3 88 30 43 70",AS Électricité de Strasbourg Tennis & Padel (Owner),,"facebook: https://www.facebook.com/ases.tennis.58
youtube: https://www.youtube.com/user/asestennis",45,4.7,https://www.google.com/maps?cid=12235902390165912680,48.5702434,7.7041726,https://www.ases-tennis.fr/,ases-tennis.fr,https://lh3.googleusercontent.com/p/AF1QipPj-ogthhr7SDCFZKRIdJ8qiqdhKNR-o2a4ec3q,ChIJ4cZWpSe2lkcRaDwxMGWozqk,padel
"Pfrimmparkarena | Tennis, Padel, Badminton & Beachvolleyball",Wehrgasse 20,67549 Worms,Sports complex,Europe/Berlin,+49 6241 78065,"06241 78065, +49 6241 78065","Pfrimmparkarena | Tennis, Padel, Badminton & Beachvolleyball (Owner)",info@pfrimmparkarena.de,"facebook: https://www.facebook.com/Pfrimmparkarena
instagram: https://www.instagram.com/pfrimmpark_arena",96,4.6,https://www.google.com/maps?cid=7256109700250774896,49.6357599,8.3272581,https://www.pfrimmpark-arena.de/,pfrimmpark-arena.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuGr0y1X9OLhf4p84fK2QqXhr-CDhpM5FjV-zTqcuoe-_MhmZleU6JaxGbWCsAUDMu87Jva7olMaB9zQqPWnbYw2WRatUYZDTN3qDI5ktN_fdRTHAYVVBp-75djw9ZZtbTYvS7,ChIJW9JA3wcslkcRcK227lPhsmQ,padel
Court 4 - Tennis - Padel - Fitness,Am Grünbach 4,76534 Baden-Baden,Tennis court,Europe/Berlin,+49 1523 3621937,"01523 3621937, +49 1523 3621937",Court 4 - Tennis - Padel - Fitness (Owner),mail@court4.de,,19,4.2,https://www.google.com/maps?cid=9922178593979866831,48.74188,8.18061,http://www.court4.de/,court4.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxnmzHAI5XlLtGT07Lm3gRDFIylL_v07KWADnSi-gffTycP494d9TK2FV7bHZ9s2yYxqxbQvMBFd2Rr6UJgL4Jg9Fd3nwJCtkIpU4fdBcYINkg_B5psf5275G4kqRb97vt6NoAW,ChIJ-ResvCIgl0cRz54nfNyosok,padel
Padel Cuvry,17 D5A,57420 Cuvry,Playground,Europe/Paris,,,Padel Cuvry (Owner),,,1,4,https://www.google.com/maps?cid=17362301092812942561,49.0388681,6.1611764,,,https://lh3.googleusercontent.com/p/AF1QipMMOzLBoda0vWvCj1t_ocNN5vSGBUdPTg-h-ltZ,ChIJs0FsmY3DlEcR4ex9wNpI8_A,padel
Tennis Club de Strasbourg,20 Rue Pierre de Coubertin,67000 Strasbourg,"Tennis club, Sports club",Europe/Paris,+33 3 88 35 29 23,"03 88 35 29 23, +33 3 88 35 29 23",Tennis Club de Strasbourg (Owner),accueil.tcs@gmail.com,"facebook: https://www.facebook.com/TennisClubdeStrasbourg
instagram: https://www.instagram.com/tennisclubdestrasbourg",212,4.4,https://www.google.com/maps?cid=16885915511021055007,48.6010169,7.7697668,https://www.tcstrasbourg.fr/,tcstrasbourg.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBQjUWLkUtZR5OjGMvNgr5pGHbcO1YwqdIWJQS6mB_r7d8cUXieqZgpOVHIzKlMu24LhnvCZihqRhkaiUF1MIK19pbQ0zGwH6rBdAKVGNy4POt9BOCJR4D5OjDVnuvMLuipQKdcQ,ChIJMxwqtorJlkcRHyyrHbHSVuo,padel
Padel Move Club Karlsruhe,Stuttgarter Str. 59,76137 Karlsruhe,Sports complex,Europe/Berlin,,,Padel Move Club Karlsruhe (Owner),office@padelmoveclub.de,,,,https://www.google.com/maps?cid=5112166442777014922,49.0020463,8.4227334,https://www.padelmoveclub.de/,padelmoveclub.de,https://lh3.googleusercontent.com/p/AF1QipOPUJKhrekhjdbrgkoInGtgvBzmE7nPdOMfAMkX,ChIJoc-GukcHl0cRinJlVksQ8kY,padel
Tennis Club Hagondange,Rue du Hassel,57300 Hagondange,Tennis club,Europe/Paris,+33 3 87 72 15 47,"03 87 72 15 47, +33 3 87 72 15 47",Tennis Club Hagondange (Owner),,,37,4.6,https://www.google.com/maps?cid=1460723122691954315,49.2513656,6.1555571,http://www.club.fft.fr/club-hagondange,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCJIf7AKUhoFxvSqQngdD-hgq8f0bxrVcdX8xoRSF9SfPfwvUxCqO29-eXuNAI45jtp4myrmMkZR7_s7bCpvITzDm3xm1FCCT_1fOF_ivZyMqZ50Zf-l7WkDXzNBUCWydmYTuT,ChIJV2vhs_omlUcRi9ZA2_CHRRQ,padel
Kaiser Foot Padel Metz,8 Rue des Forgerons,57300 Hagondange,Sports complex,Europe/Paris,+33 6 27 18 31 59,"06 27 18 31 59, +33 6 27 18 31 59",Kaiser Foot Padel Metz (Owner),info@kaiserfootpadel.com,"facebook: https://www.facebook.com/ThemeRexStudio,https://www.facebook.com/kaiserfootpadel
instagram: https://www.instagram.com/themerex_net,https://www.instagram.com/kaiserfootpadel
twitter: https://x.com/ThemerexThemes",258,4.6,https://www.google.com/maps?cid=200649024853199224,49.2446752,6.1638465,http://www.kaiserfootpadel.com/,kaiserfootpadel.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwSPDAthYrf0D_WvyoblAwBfUO8d-AhxXHLqCTqu3bvQuUkEC0gFwcOBFZeXbanEpX_3bVvrti-suM4JRPG5O6DvkUibdAY3SJ5ZJkJjMjRyHhAIgaVIzhNvLztVb9Sbmex0FHN,ChIJc6UF2wwnlUcReEnnmjnZyAI,padel
CK Sportcenter Kockelscheuer,20 Rte de Bettembourg,1899 Kockelscheuer Luxembourg,"Padel court, Badminton court, Bowling alley, Golf driving range, Sports complex, Squash court, Tennis court",Europe/Luxembourg,+352 55 22 40 100,"55 22 40 100, +352 55 22 40 100",CK Sportcenter Kockelscheuer (Owner),reception.sportcenter@ck.lu,,722,4.3,https://www.google.com/maps?cid=14989574897246146239,49.5730778,6.1098018,http://www.ck-sportcenter.lu/,ck-sportcenter.lu,https://lh3.googleusercontent.com/p/AF1QipMdKhs93YVuFz7_BotKhhdZts5BntsfyOCaycJi,ChIJBZvUUZxJlUcRvw54bPOqBdA,padel
Tennis Club Saint Avold Padel TECSAP,57500 Rue de la Piscine,57500 Saint-Avold,Tennis club,Europe/Paris,+33 3 87 92 99 51,"03 87 92 99 51, +33 3 87 92 99 51",Tennis Club Saint Avold Padel TECSAP (Owner),,,46,4.6,https://www.google.com/maps?cid=2747627947402960198,49.1070431,6.7004234,https://club.fft.fr/tecsa.st.avold/55570023_a/cms/index_public.php?us_action=show_note_site&login_off=1&ui_id_site=1,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQGU5P8IygO5TWGug2iFij-p9P-aZVbdH3gcvMkMAB33tkS_0F-LbQ5H1-YYp5cH-b_RpLqPdnpMOTR_6VPAosbZAiqQP1YEfwjbmiu3T9rxo0wRqoDGh64uq3n3JRsk7Z4rxl,ChIJH10hkDFUlEcRRp3jgw-JISY,padel
Terrain Padel n°1 - ASES Tennis,7 Chem. de la Holtzmatt,67200 Strasbourg,Sports club,Europe/Paris,,,Terrain Padel n°1 - ASES Tennis (Owner),,,,,https://www.google.com/maps?cid=278215183786035860,48.5695717,7.7041217,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2sj5BGKVv7vm1rGdnwjeLQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=176.68608&pitch=0&thumbfov=100,ChIJLyLSpsq3lkcRlMqvUDxr3AM,padel
Tennis Club Reichstett | Tennis & Padel,Rue de Picardie,67116 Reichstett,"Tennis club, Padel club",Europe/Paris,+33 3 88 20 34 76,"03 88 20 34 76, +33 3 88 20 34 76",Tennis Club Reichstett | Tennis & Padel (Owner),0fd2930120484402ac9adfb9e05cacd5@o37417.ingest.sentry.io,"facebook: https://www.facebook.com/tennisclubpadelreichstett/posts/pfbid0HafyVdtGSGcVqjU7Uj5vBEDX6gADmv5MWMZEMTRHfLbSi7Abq4bs6rDzqHVxxdjql,https://www.facebook.com/tennisclubpadelreichstett/posts/pfbid02MyHkNsqLav1By8PK4UYQi8gDtWNbBXqkPkrTzXtrA6hboeC73zVJScbfWTm3KSRKl,https://www.facebook.com/tennisclubpadelreichstett/posts/pfbid02isAMjF9pjW9StYtTBV11BrT12HfPe6qz1bVUEYh2fPrwnDhBS6FoAb9VCiaPTsyDl,https://www.facebook.com/Italiantradingwine,https://www.facebook.com/tennisclubpadelreichstett
instagram: https://www.instagram.com/tennisclubpadelreichstett",70,4.6,https://www.google.com/maps?cid=3756565591230031157,48.642773,7.760512,https://www.tcpr67.com/,tcpr67.com,https://lh3.googleusercontent.com/p/AF1QipM0Vq3aUZT7A34emVt2qK7XyYRNTfWRYngOmU38,ChIJg2kqCrnHlkcRNaW4iIAAIjQ,padel
Sport4lux Sàrl,34 Rue Gabriel Lippmann,5365 Munsbach Schuttrange,"Sports club, Athletic field, Children hall, Indoor playground, Playground, Recreation center, Sports bar, Sports complex",Europe/Luxembourg,+352 28 83 18,"28 83 18, +352 28 83 18",Sport4lux Sàrl (Owner),contact@sport4lux.lu,"facebook: https://www.facebook.com/sport4lux
instagram: https://www.instagram.com/sport4lux
linkedin: https://www.linkedin.com/company/sport4lux",253,4.6,https://www.google.com/maps?cid=16592649226494618428,49.6437,6.27228,https://sport4lux.lu/,sport4lux.lu,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWsfgDiYB_ZgZrVQEROzA0PoZpraNu6oYs6LbpwWbaBRW9yRlxxt9-KIWvSBbvIclZZbPavlkpUifv_oqWoGK0jgOvnfDGTnHsFOGN7F4vYVQITkVw88b6fTU9cX_ik3BhW-U,ChIJd9NajLNFlUcRPCvfU4_uROY,padel
Tennis Padel Club Soufflenheim,Rue de Koenigsbruck,67620 Soufflenheim,Tennis club,Europe/Paris,+33 6 10 14 60 39,"06 10 14 60 39, +33 6 10 14 60 39",Tennis Padel Club Soufflenheim (Owner),"president.tpcs@gmail.com,secretariat.tpcs@gmail.com","facebook: https://www.facebook.com/TPCSOUFFLENHEIM
instagram: https://www.instagram.com/tennis_padel_club_soufflenheim
tiktok: https://www.tiktok.com/@tennispadelsoufflenheim
youtube: https://www.youtube.com/@tennispadelclubsoufflenheim",16,4.6,https://www.google.com/maps?cid=13936529717398944326,48.8332216,7.9603756,https://tennispadelclubsou.wixsite.com/tpcsoufflenheim,tennispadelclubsou.wixsite.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsrg4CTLF1U8BMlN_PQFar9GXUp7lkTy7FIzkl7QMgSa8A4xbz_6LYPobO3r-e4POYXqdk6nKQyu4dQLQNGz0x8OqVw7L80TdgJ4rxPjvy_e02bbaBRDuVtJVgD7dxqLTOS4w4Lg,ChIJ5XSJDLvolkcRRjo9Z_B_aME,padel
Tennis club Padel Saverne,Rue du Général Leclerc,67700 Saverne,"Tennis club, Padel court",Europe/Paris,+33 7 71 68 32 38,"07 71 68 32 38, +33 7 71 68 32 38",Tennis club Padel Saverne (Owner),,,10,4.5,https://www.google.com/maps?cid=8836238783020112258,48.7332305,7.3536911,https://club.fft.fr/tcsaverne/,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxrwxgIlLqB013wefV7izpjN77w_ChsbGgCrGVple5EJnEE78F4NGZhyJKnxGJ1-m_F8BZp-xxap8Uy8od4rLsc_o06ehOzWaRA4RVg_ONCD5p9NqOkPZTgWRjHaZfUlQNbVMVA-lKUcnu4,ChIJCXDpcUahlkcRgplxVFugoHo,padel
66 Padel GmbH,Am Schanzenberg 3,66117 Saarbrücken,Sports complex,Europe/Berlin,+49 173 8193883,"0173 8193883, +49 173 8193883",66 Padel GmbH (Owner),,"instagram: https://www.instagram.com/66padel_saarbrucken
tiktok: https://www.tiktok.com/@66padel",,,https://www.google.com/maps?cid=3251590504018957988,49.2332501,6.9603433,https://66padel.de/,66padel.de,https://lh3.googleusercontent.com/p/AF1QipPFOSx1e1t50xgh06Ldu-6esc9AsPW_4fErMDiL,ChIJV0r0RNOzlUcRpFYV81X4Hy0,padel
Padel Fleury,11 Chem. de Metz,57420 Fleury,Playground,Europe/Paris,,,Padel Fleury (Owner),,,,,https://www.google.com/maps?cid=8857173756948046964,49.0432478,6.192024,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxEkLk7J3luV-kNTHx39uHDr9hebNDKYztatningMDnvT4lsMnKklZuMSiB_pn09UJ_W_Bq94JvB2Yrq51jeKBy0PHDzvb98Cb3y9VcRFbwVoFPMqC_KpFq1QMwr9R5uygFhYBL,ChIJ14uyUwDdlEcRdOTMyJoA63o,padel
Tsb Jarville,34 Rue de la Sablière,54140 Jarville-la-Malgrange,Tennis club,Europe/Paris,,,Tsb Jarville (Owner),,"facebook: https://www.facebook.com/letsbjarville
linkedin: https://linkedin.com/company/tsbjarville",33,4.6,https://www.google.com/maps?cid=3241336738259438273,48.658329,6.20968,https://www.tsbjarville.com/page/2167488-presentation,tsbjarville.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz8D-3VOV6c0ii3qS-TlxyXSwr0Dood5exRIIKL_FCnM9y03sBqIvupQs-to9QNfPZ-RBXAsA1MuFGOHmB1wlMOMVcr4G200itr5DcTjSNlKc6bUWTEx8IAQwgoKEgWV0JfLpkgeA,ChIJrUWQjOGYlEcRwYpgEZeK-yw,padel
Garisart Sports Club,ZA 30,6700 Arlon,"Tennis club, Padel club, Sports club",Europe/Brussels,+32 63 22 74 40,"063 22 74 40, +32 63 22 74 40",Garisart Sports Club (Owner),info@garisart.be,facebook: https://www.facebook.com/TennisClubGarisart,163,4.1,https://www.google.com/maps?cid=17063880728580424619,49.6502971,5.8231075,http://www.garisart.be/,garisart.be,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLV_4L-DjgJP7jASE4CyswqdvqYMIs15gNeAdxnf2Kv4T_zdYnMPs-UL2y5G4yrJMTo48jxwdWduGlEZTcBw0XzYYGCvJn5CJ6m_B10upTjHqpdbQZMqDddQy7dZCHalhy4eqQ,ChIJUwucOeaw6kcRq4OrRB0Vz-w,padel
